Date Applied,Transaction Code,System Event Description,Order No,Order Type,Transaction Qty,On Hand Qty After Transaction,Lead Time Coverage,Order Point,Lot Size
2023-05-06,INTSHIP,Issue for Material Requisition,3545,Material Requisition,-60,2457,0.41,4000,8000
2023-05-07,INTSHIP,Issue for Material Requisition,1287,Material Requisition,-36,2421,0.41,4000,8000
2023-05-07,INTSHIP,Issue for Material Requisition,3605,Material Requisition,-60,2361,0.4,4000,8000
2023-05-09,INTSHIP,Issue for Material Requisition,3687,Material Requisition,-60,2301,0.39,4000,8000
2023-05-10,INTSHIP,Issue for Material Requisition,3766,Material Requisition,-60,2241,0.38,4000,8000
2023-05-10,INTSHIP,Issue for Material Requisition,3833,Material Requisition,-60,2181,0.37,4000,8000
2023-05-14,INTSHIP,Issue for Material Requisition,3887,Material Requisition,-60,2121,0.36,4000,8000
2023-05-14,INTSHIP,Issue for Material Requisition,3952,Material Requisition,-60,2061,0.35,4000,8000
2023-05-14,INTSHIP,Issue for Material Requisition,3983,Material Requisition,-60,2001,0.34,4000,8000
2023-05-15,INTSHIP,Issue for Material Requisition,1062,Material Requisition,-60,1941,0.33,4000,8000
2023-05-17,INTSHIP,Issue for Material Requisition,4081,Material Requisition,-60,1881,0.32,4000,8000
2023-05-17,INTSHIP,Issue for Material Requisition,4174,Material Requisition,-50,1831,0.31,4000,8000
2023-05-18,INTSHIP,Issue for Material Requisition,4252,Material Requisition,-39,1792,0.3,4000,8000
2023-05-18,INTSHIP,Issue for Material Requisition,4297,Material Requisition,-48,1744,0.29,4000,8000
2023-05-18,INTSHIP,Issue for Material Requisition,4347,Material Requisition,-48,1696,0.29,4000,8000
2023-05-19,INTSHIP,Issue for Material Requisition,4390,Material Requisition,-48,1648,0.28,4000,8000
2023-05-20,INTSHIP,Issue for Material Requisition,4422,Material Requisition,-48,1600,0.27,4000,8000
2023-05-21,INTSHIP,Issue for Material Requisition,4457,Material Requisition,-48,1552,0.26,4000,8000
2023-05-22,INTSHIP,Issue for Material Requisition,4557,Material Requisition,-60,1492,0.25,4000,8000
2023-05-23,INTSHIP,Issue for Material Requisition,4625,Material Requisition,-60,1432,0.24,4000,8000
2023-05-23,INTSHIP,Issue for Material Requisition,4598,Material Requisition,-12,1420,0.24,4000,8000
2023-05-24,INTSHIP,Issue for Material Requisition,4684,Material Requisition,-60,1360,0.23,4000,8000
2023-05-25,INTSHIP,Issue for Material Requisition,4739,Material Requisition,-60,1300,0.22,4000,8000
2023-05-26,INTSHIP,Issue for Material Requisition,4784,Material Requisition,-60,1240,0.21,4000,8000
2023-05-27,INTSHIP,Issue for Material Requisition,4817,Material Requisition,-60,1180,0.2,4000,8000
2023-05-28,INTSHIP,Issue for Material Requisition,4861,Material Requisition,-60,1120,0.19,4000,8000
2023-05-30,INTSHIP,Issue for Material Requisition,4909,Material Requisition,-60,1060,0.18,4000,8000
2023-05-31,INTSHIP,Issue for Material Requisition,4969,Material Requisition,-60,1000,0.17,4000,8000
2023-06-07,INTSHIP,Issue for Material Requisition,5020,Material Requisition,-120,880,0.15,4000,8000
2023-06-07,INTSHIP,Issue for Material Requisition,5124,Material Requisition,-60,820,0.14,4000,8000
2023-06-07,INTSHIP,Issue for Material Requisition,5162,Material Requisition,-12,808,0.14,4000,8000
2023-06-07,INTSHIP,Issue for Material Requisition,5150,Material Requisition,-60,748,0.13,4000,8000
2023-06-08,INTSHIP,Issue for Material Requisition,5346,Material Requisition,-48,700,0.12,4000,8000
2023-06-08,INTSHIP,Issue for Material Requisition,5183,Material Requisition,-60,640,0.11,4000,8000
2023-06-09,INTSHIP,Issue for Material Requisition,5218,Material Requisition,-48,592,0.1,4000,8000
2023-06-09,INTSHIP,Issue for Material Requisition,4740,Material Requisition,-60,532,0.09,4000,8000
2023-06-09,INTSHIP,Issue for Material Requisition,5304,Material Requisition,-12,520,0.09,4000,8000
2023-06-09,INTSHIP,Issue for Material Requisition,5248,Material Requisition,-48,472,0.08,4000,8000
2023-06-09,INTSHIP,Issue for Material Requisition,5306,Material Requisition,-48,424,0.07,4000,8000
2023-06-10,INTSHIP,Issue for Material Requisition,5095,Material Requisition,-60,364,0.06,4000,8000
2023-06-10,INTSHIP,Issue for Material Requisition,5373,Material Requisition,-60,304,0.05,4000,8000
2023-06-13,INTSHIP,Issue for Material Requisition,5547,Material Requisition,-7.2,296.8,0.05,4000,8000
2023-06-13,INTSHIP,Issue for Material Requisition,5568,Material Requisition,-54,242.8,0.04,4000,8000
2023-06-15,INTSHIP,Issue for Material Requisition,5558,Material Requisition,-54,188.8,0.03,4000,8000
2023-06-15,INTSHIP,Issue for Material Requisition,5512,Material Requisition,-78.6,110.2,0.02,4000,8000
2023-06-15,INTSHIP,Issue for Material Requisition,5418,Material Requisition,-60,50.2,0.01,4000,8000
2023-06-17,INTSHIP,Issue for Material Requisition,3714,Material Requisition,-12,38.2,0.01,4000,8000
2023-06-17,INTSHIP,Issue for Material Requisition,2994,Material Requisition,-24,14.2,0,4000,8000
2023-06-17,INTSHIP,Issue for Material Requisition,5444,Material Requisition,-12,2.2,0,4000,8000
2023-07-12,ARRIVAL,Receipt of Purchase Order,1050,Purchase Order,3996,3998.2,0.67,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6794,Material Requisition,-2.2,3943.2,0.66,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6794,Material Requisition,-52.8,3945.4,0.66,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6772,Material Requisition,-64.8,3878.4,0.65,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6743,Material Requisition,-64.8,3813.6,0.64,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6697,Material Requisition,-64.8,3748.8,0.63,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6643,Material Requisition,-64.8,3684,0.62,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6615,Material Requisition,-64.8,3619.2,0.61,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6571,Material Requisition,-64.8,3554.4,0.6,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6536,Material Requisition,-64.8,3489.6,0.59,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6511,Material Requisition,-64.8,3424.8,0.58,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6485,Material Requisition,-75.6,3349.2,0.56,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6445,Material Requisition,-64.8,3284.4,0.55,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6381,Material Requisition,-64.8,3219.6,0.54,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6346,Material Requisition,-64.8,3154.8,0.53,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6292,Material Requisition,-39.6,3115.2,0.52,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6274,Material Requisition,-7.2,3108,0.52,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6257,Material Requisition,-48.6,3059.4,0.51,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6171,Material Requisition,-48.6,3010.8,0.51,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,5922,Material Requisition,-43.2,2967.6,0.5,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6000,Material Requisition,-39.6,2928,0.49,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6050,Material Requisition,-39.6,2888.4,0.49,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6136,Material Requisition,-39.6,2848.8,0.48,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6092,Material Requisition,-39.6,2809.2,0.47,4000,8000
2023-07-16,INTSHIP,Issue for Material Requisition,6101,Material Requisition,-7.2,2802,0.47,4000,8000
2023-07-17,INTSHIP,Issue for Material Requisition,6850,Material Requisition,-55,2747,0.46,4000,8000
2023-07-17,INTSHIP,Issue for Material Requisition,6890,Material Requisition,-32.4,2714.6,0.46,4000,8000
2023-07-19,INTSHIP,Issue for Material Requisition,6925,Material Requisition,-200,2514.6,0.42,4000,8000
2023-07-20,INTSHIP,Issue for Material Requisition,6960,Material Requisition,-199.8,2314.8,0.39,4000,8000
2023-07-22,INTSHIP,Issue for Material Requisition,7065,Material Requisition,-7.2,2307.6,0.39,4000,8000
2023-07-22,INTSHIP,Issue for Material Requisition,6926,Material Requisition,-30,2277.6,0.38,4000,8000
2023-07-22,INTSHIP,Issue for Material Requisition,5758,Material Requisition,-65,2212.6,0.37,4000,8000
2023-07-24,INTSHIP,Issue for Material Requisition,7162,Material Requisition,-199.8,2012.8,0.34,4000,8000
2023-07-24,INTSHIP,Issue for Material Requisition,3714,Material Requisition,-60,1952.8,0.33,4000,8000
2023-07-24,INTSHIP,Issue for Material Requisition,5670,Material Requisition,-65,1887.8,0.32,4000,8000
2023-07-24,INTSHIP,Issue for Material Requisition,5720,Material Requisition,-65,1822.8,0.31,4000,8000
2023-07-24,INTSHIP,Issue for Material Requisition,5646,Material Requisition,-65,1757.8,0.3,4000,8000
2023-07-24,INTSHIP,Issue for Material Requisition,5878,Material Requisition,-55,1702.8,0.29,4000,8000
2023-07-24,INTSHIP,Issue for Material Requisition,5812,Material Requisition,-55,1647.8,0.28,4000,8000
2023-07-24,INTSHIP,Issue for Material Requisition,5902,Material Requisition,-60,1587.8,0.27,4000,8000
2023-07-24,INTSHIP,Issue for Material Requisition,5848,Material Requisition,-55,1532.8,0.26,4000,8000
2023-07-24,INTSHIP,Issue for Material Requisition,6226,Material Requisition,-40,1492.8,0.25,4000,8000
2023-07-24,INTSHIP,Issue for Material Requisition,5619,Material Requisition,-60,1432.8,0.24,4000,8000
2023-07-25,INTSHIP,Issue for Material Requisition,7210,Material Requisition,-7.2,1425.6,0.24,4000,8000
2023-07-27,INTSHIP,Issue for Material Requisition,7349,Material Requisition,-152,1273.6,0.21,4000,8000
2023-07-30,INTSHIP,Issue for Material Requisition,7478,Material Requisition,-118.8,1154.8,0.19,4000,8000
2023-07-30,INTSHIP,Issue for Material Requisition,7426,Material Requisition,-108,1046.8,0.18,4000,8000
2023-08-05,INTSHIP,Issue for Material Requisition,7528,Material Requisition,-85,961.8,0.16,4000,8000
2023-08-05,INTSHIP,Issue for Material Requisition,7573,Material Requisition,-64.8,897,0.15,4000,8000
2023-08-05,INTSHIP,Issue for Material Requisition,7638,Material Requisition,-64.8,832.2,0.14,4000,8000
2023-08-06,INTSHIP,Issue for Material Requisition,7707,Material Requisition,-8,824.2,0.14,4000,8000
2023-08-06,INTSHIP,Issue for Material Requisition,7747,Material Requisition,-65,759.2,0.13,4000,8000
2023-08-08,INTSHIP,Issue for Material Requisition,7791,Material Requisition,-64.8,694.4,0.12,4000,8000
2023-08-08,INTSHIP,Issue for Material Requisition,7830,Material Requisition,-48.6,645.8,0.11,4000,8000
2023-08-08,INTSHIP,Issue for Material Requisition,7835,Material Requisition,-7.2,638.6,0.11,4000,8000
2023-08-09,INTSHIP,Issue for Material Requisition,7892,Material Requisition,-48.6,590,0.1,4000,8000
2023-08-10,INTSHIP,Issue for Material Requisition,7951,Material Requisition,-19.8,570.2,0.1,4000,8000
2023-08-11,INTSHIP,Issue for Material Requisition,7969,Material Requisition,-19.7,550.5,0.09,4000,8000
2023-08-11,INTSHIP,Issue for Material Requisition,7925,Material Requisition,-48.6,501.9,0.08,4000,8000
2023-08-11,INTSHIP,Issue for Material Requisition,7925,Material Requisition,-1.4,500.5,0.08,4000,8000
2023-08-11,INTSHIP,Issue for Material Requisition,7962,Material Requisition,-49.4,451.1,0.08,4000,8000
2023-08-12,INTSHIP,Issue for Material Requisition,7969,Material Requisition,-5.4,445.7,0.07,4000,8000
2023-08-12,INTSHIP,Issue for Material Requisition,7980,Material Requisition,-59.4,386.3,0.06,4000,8000
2023-08-13,INTSHIP,Issue for Material Requisition,7999,Material Requisition,-54,332.3,0.06,4000,8000
2023-08-14,INTSHIP,Issue for Material Requisition,8046,Material Requisition,-64.8,267.5,0.05,4000,8000
2023-08-14,INTSHIP,Issue for Material Requisition,8064,Material Requisition,-65,202.5,0.03,4000,8000
2023-08-14,INTSHIP,Issue for Material Requisition,7478,Material Requisition,-1.2,201.3,0.03,4000,8000
2023-08-14,INTSHIP,Issue for Material Requisition,7573,Material Requisition,-0.2,201.1,0.03,4000,8000
2023-08-14,INTSHIP,Issue for Material Requisition,7638,Material Requisition,-0.2,200.9,0.03,4000,8000
2023-08-14,INTSHIP,Issue for Material Requisition,7791,Material Requisition,-0.2,200.7,0.03,4000,8000
2023-08-14,INTSHIP,Issue for Material Requisition,7830,Material Requisition,-1.4,199.3,0.03,4000,8000
2023-08-14,INTSHIP,Issue for Material Requisition,7892,Material Requisition,-1.4,197.9,0.03,4000,8000
2023-08-14,INTSHIP,Issue for Material Requisition,7835,Material Requisition,-0.8,197.1,0.03,4000,8000
2023-08-14,INTSHIP,Issue for Material Requisition,8046,Material Requisition,-0.2,196.9,0.03,4000,8000
2023-08-14,INTSHIP,Issue for Material Requisition,7980,Material Requisition,-0.6,196.3,0.03,4000,8000
2023-08-14,INTSHIP,Issue for Material Requisition,7962,Material Requisition,-0.6,195.7,0.03,4000,8000
2023-08-14,INTSHIP,Issue for Material Requisition,7969,Material Requisition,-0.9,194.8,0.03,4000,8000
2023-08-14,INTSHIP,Issue for Material Requisition,7951,Material Requisition,-0.2,194.6,0.03,4000,8000
2023-08-14,INTSHIP,Issue for Material Requisition,7999,Material Requisition,-4,190.6,0.03,4000,8000
2023-08-15,ARRIVAL,Receipt of Purchase Order,1984,Purchase Order,1848,2038.6,0.34,4000,8000
2023-08-16,ARRIVAL,Receipt of Purchase Order,1984,Purchase Order,252,2290.6,0.39,4000,8000
2023-08-16,INTSHIP,Issue for Material Requisition,8091,Material Requisition,-60,2230.6,0.38,4000,8000
2023-08-17,INTSHIP,Issue for Material Requisition,8125,Material Requisition,-72,2158.6,0.36,4000,8000
2023-08-20,INTSHIP,Issue for Material Requisition,8140,Material Requisition,-72,2086.6,0.35,4000,8000
2023-08-20,INTSHIP,Issue for Material Requisition,8140,Material Requisition,-8,2078.6,0.35,4000,8000
2023-08-20,INTSHIP,Issue for Material Requisition,8175,Material Requisition,-48,1998.6,0.34,4000,8000
2023-08-20,INTSHIP,Issue for Material Requisition,8175,Material Requisition,-32,2046.6,0.34,4000,8000
2023-08-20,INTSHIP,Issue for Material Requisition,8206,Material Requisition,-72,1926.6,0.32,4000,8000
2023-08-20,INTSHIP,Issue for Material Requisition,8215,Material Requisition,-72,1854.6,0.31,4000,8000
2023-08-21,INTSHIP,Issue for Material Requisition,8252,Material Requisition,-72,1782.6,0.3,4000,8000
2023-08-22,INTSHIP,Issue for Material Requisition,8307,Material Requisition,-72,1710.6,0.29,4000,8000
2023-08-23,INTSHIP,Issue for Material Requisition,8376,Material Requisition,-9.4,1662.6,0.28,4000,8000
2023-08-23,INTSHIP,Issue for Material Requisition,8376,Material Requisition,-38.6,1672,0.28,4000,8000
2023-08-26,INTSHIP,Issue for Material Requisition,8414,Material Requisition,-72,1590.6,0.27,4000,8000
2023-08-26,INTSHIP,Issue for Material Requisition,8451,Material Requisition,-72,1518.6,0.26,4000,8000
2023-08-27,INTSHIP,Issue for Material Requisition,8472,Material Requisition,-48,1470.6,0.25,4000,8000
2023-08-29,INTSHIP,Issue for Material Requisition,8506,Material Requisition,-72,1398.6,0.24,4000,8000
2023-08-29,INTSHIP,Issue for Material Requisition,8558,Material Requisition,-12,1386.6,0.23,4000,8000
2023-08-29,INTSHIP,Issue for Material Requisition,8568,Material Requisition,-72,1314.6,0.22,4000,8000
2023-08-29,INTSHIP,Issue for Material Requisition,8500,Material Requisition,-100,1214.6,0.2,4000,8000
2023-08-29,INTSHIP,Issue for Material Requisition,8091,Material Requisition,-5,1209.6,0.2,4000,8000
2023-08-29,INTSHIP,Issue for Material Requisition,944,Material Requisition,-60,1149.6,0.19,4000,8000
2023-08-29,INTSHIP,Issue for Material Requisition,4060,Material Requisition,-60,1089.6,0.18,4000,8000
2023-08-30,INTSHIP,Issue for Material Requisition,8605,Material Requisition,-72,1017.6,0.17,4000,8000
2023-08-31,INTSHIP,Issue for Material Requisition,8632,Material Requisition,-24,993.6,0.17,4000,8000
2023-09-01,INTSHIP,Issue for Material Requisition,8663,Material Requisition,-48,945.6,0.16,4000,8000
2023-09-02,INTSHIP,Issue for Material Requisition,1667,Material Requisition,-21.6,924,0.16,4000,8000
2023-09-02,INTSHIP,Issue for Material Requisition,8676,Material Requisition,-72,852,0.14,4000,8000
2023-09-03,INTSHIP,Issue for Material Requisition,8703,Material Requisition,-60,792,0.13,4000,8000
2023-09-04,INTSHIP,Issue for Material Requisition,8725,Material Requisition,-72,720,0.12,4000,8000
2023-09-04,INTSHIP,Issue for Material Requisition,8699,Material Requisition,-12,708,0.12,4000,8000
2023-09-05,INTSHIP,Issue for Material Requisition,8757,Material Requisition,-48,660,0.11,4000,8000
2023-09-06,INTSHIP,Issue for Material Requisition,8798,Material Requisition,-72,588,0.1,4000,8000
2023-09-07,INTSHIP,Issue for Material Requisition,8826,Material Requisition,-72,516,0.09,4000,8000
2023-09-08,INTSHIP,Issue for Material Requisition,8860,Material Requisition,-72,444,0.07,4000,8000
2023-09-09,INTSHIP,Issue for Material Requisition,8871,Material Requisition,-72,372,0.06,4000,8000
2023-09-10,INTSHIP,Issue for Material Requisition,8908,Material Requisition,-72,300,0.05,4000,8000
2023-09-12,INTSHIP,Issue for Material Requisition,8934,Material Requisition,-72,228,0.04,4000,8000
2023-09-17,INTSHIP,Issue for Material Requisition,8961,Material Requisition,-72,156,0.03,4000,8000
2023-09-17,INTSHIP,Issue for Material Requisition,8996,Material Requisition,-72,84,0.01,4000,8000
2023-09-17,INTSHIP,Issue for Material Requisition,9018,Material Requisition,-72,12,0,4000,8000
2023-09-19,ARRIVAL,Receipt of Purchase Order,2511,Purchase Order,313.2,325.2,0.05,4000,8000
2023-09-19,ARRIVAL,Receipt of Purchase Order,2511,Purchase Order,1656,1981.2,0.33,4000,8000
2023-09-20,INTSHIP,Issue for Material Requisition,9212,Material Requisition,-12,1969.2,0.33,4000,8000
2023-09-21,INTSHIP,Issue for Material Requisition,9212,Material Requisition,-60,1909.2,0.32,4000,8000
2023-09-21,INTSHIP,Issue for Material Requisition,9205,Material Requisition,-3.6,1905.6,0.32,4000,8000
2023-09-22,INTSHIP,Issue for Material Requisition,9272,Material Requisition,-74.4,1831.2,0.31,4000,8000
2023-09-22,INTSHIP,Issue for Material Requisition,9259,Material Requisition,-43.2,1788,0.3,4000,8000
2023-09-23,INTSHIP,Issue for Material Requisition,9331,Material Requisition,-60,1728,0.29,4000,8000
2023-09-24,INTSHIP,Issue for Material Requisition,9358,Material Requisition,-48,1680,0.28,4000,8000
2023-09-25,INTSHIP,Issue for Material Requisition,9382,Material Requisition,-60,1620,0.27,4000,8000
2023-09-26,INTSHIP,Issue for Material Requisition,9414,Material Requisition,-48,1548,0.26,4000,8000
2023-09-26,INTSHIP,Issue for Material Requisition,9414,Material Requisition,-24,1596,0.27,4000,8000
2023-09-29,INTSHIP,Issue for Material Requisition,9442,Material Requisition,-60,1488,0.25,4000,8000
2023-09-29,INTSHIP,Issue for Material Requisition,9491,Material Requisition,-72,1416,0.24,4000,8000
2023-09-29,INTSHIP,Issue for Material Requisition,9465,Material Requisition,-12,1404,0.24,4000,8000
2023-09-29,INTSHIP,Issue for Material Requisition,9518,Material Requisition,-72,1332,0.22,4000,8000
2023-09-30,INTSHIP,Issue for Material Requisition,9534,Material Requisition,-72,1260,0.21,4000,8000
2023-10-01,INTSHIP,Issue for Material Requisition,9583,Material Requisition,-72,1188,0.2,4000,8000
2023-10-04,INTSHIP,Issue for Material Requisition,9651,Material Requisition,-72,1116,0.19,4000,8000
2023-10-04,INTSHIP,Issue for Material Requisition,9618,Material Requisition,-72,1044,0.18,4000,8000
2023-10-07,INTSHIP,Issue for Material Requisition,9746,Material Requisition,-48,996,0.17,4000,8000
2023-10-07,INTSHIP,Issue for Material Requisition,9701,Material Requisition,-72,924,0.16,4000,8000
2023-10-07,INTSHIP,Issue for Material Requisition,9679,Material Requisition,-72,852,0.14,4000,8000
2023-10-08,INTSHIP,Issue for Material Requisition,9056,Material Requisition,-72,780,0.13,4000,8000
2023-10-08,INTSHIP,Issue for Material Requisition,9097,Material Requisition,-72,708,0.12,4000,8000
2023-10-08,INTSHIP,Issue for Material Requisition,8770,Material Requisition,-12,696,0.12,4000,8000
2023-10-08,INTSHIP,Issue for Material Requisition,9167,Material Requisition,-72,624,0.1,4000,8000
2023-10-08,INTSHIP,Issue for Material Requisition,9123,Material Requisition,-72,552,0.09,4000,8000
2023-10-10,INTSHIP,Issue for Material Requisition,9779,Material Requisition,-72,480,0.08,4000,8000
2023-10-10,INTSHIP,Issue for Material Requisition,9814,Material Requisition,-12,468,0.08,4000,8000
2023-10-10,INTSHIP,Issue for Material Requisition,9815,Material Requisition,-72,396,0.07,4000,8000
2023-10-12,ARRIVAL,Receipt of Purchase Order,2530,Purchase Order,3988.5,4384.5,0.74,4000,8000
2023-10-12,INTSHIP,Issue for Material Requisition,9880,Material Requisition,-72,4312.5,0.73,4000,8000
2023-10-12,INTSHIP,Issue for Material Requisition,9481,Material Requisition,-72,4240.5,0.71,4000,8000
2023-10-12,INTSHIP,Issue for Material Requisition,9867,Material Requisition,-12,4228.5,0.71,4000,8000
2023-10-13,INTSHIP,Issue for Material Requisition,9919,Material Requisition,-72,4156.5,0.7,4000,8000
2023-10-14,INTSHIP,Issue for Material Requisition,9936,Material Requisition,-48,4108.5,0.69,4000,8000
2023-10-15,INTSHIP,Issue for Material Requisition,9965,Material Requisition,-72,4036.5,0.68,4000,8000
2023-10-16,INTSHIP,Issue for Material Requisition,10002,Material Requisition,-48,3988.5,0.67,4000,8000
2023-10-16,INTSHIP,Issue for Material Requisition,10002,Material Requisition,-24,3964.5,0.67,4000,8000
2023-10-18,INTSHIP,Issue for Material Requisition,10039,Material Requisition,-12,3952.5,0.66,4000,8000
2023-10-20,INTSHIP,Issue for Material Requisition,6632,Material Requisition,-72,3880.5,0.65,4000,8000
2023-10-21,INTSHIP,Issue for Material Requisition,6633,Material Requisition,-72,3808.5,0.64,4000,8000
2023-10-22,INTSHIP,Issue for Material Requisition,8108,Material Requisition,-72,3736.5,0.63,4000,8000
2023-10-25,INTSHIP,Issue for Material Requisition,10230,Material Requisition,-72,3664.5,0.62,4000,8000
2023-10-25,INTSHIP,Issue for Material Requisition,10285,Material Requisition,-72,3592.5,0.6,4000,8000
2023-10-28,INTSHIP,Issue for Material Requisition,10388,Material Requisition,-72,3520.5,0.59,4000,8000
2023-10-28,INTSHIP,Issue for Material Requisition,9495,Material Requisition,-72,3448.5,0.58,4000,8000
2023-10-29,INTSHIP,Issue for Material Requisition,10311,Material Requisition,-72,3376.5,0.57,4000,8000
2023-11-01,INTSHIP,Issue for Material Requisition,10663,Material Requisition,-36,6863.5,1.15,4000,8000
